Instruction 1,Instruction 2,Conflict Type
"SUB R10, R0, 34","OR R5, R10, R2",RAW
"XOR R10, R0, 19","LOAD R10, R0, 36",WAW
"AND R4, R1, R2","SHIFT R2, R4, R3",WAR
"OR R10, R1, R2","LOAD R10, R10, R3",WAR
"SHIFT R5, R1, R2","AND R9, R5, R3",WAR
"AND R1, R0, 43","ADD R1, R1, R2",RAW
"MUL R2, R1, R2","MUL R8, R3, 10",No_CONFLICT
"MUL R13, R0, 31","OR R10, R13, R2",RAW
"OR R15, R0, 20","MUL R15, R0, 0",WAW
"OR R0, R0, 16","ADD R0, R0, 8",WAW
"STORE R12, R1, R2","MUL R15, R12, R3",WAR
"MUL R3, R0, 0","LOAD R3, R0, 6",WAW
"ADD R13, R1, R2","XOR R1, R3, 10",No_CONFLICT
"AND R9, R0, 44","STORE R9, R0, 18",WAW
"XOR R6, R1, R2","LOAD R12, R6, R3",WAR
"OR R14, R0, 35","ADD R14, R14, R2",RAW
"SUB R0, R1, R2","OR R9, R0, R3",WAR
"SUB R0, R0, 23","ADD R8, R0, R2",RAW
"MUL R0, R1, R2","SUB R15, R3, 10",No_CONFLICT
"STORE R1, R1, R2","MUL R14, R3, 10",No_CONFLICT
"XOR R5, R1, R2","ADD R13, R3, 10",No_CONFLICT
"STORE R1, R0, 44","LOAD R1, R0, 28",WAW
"XOR R15, R1, R2","OR R11, R3, 10",No_CONFLICT
"LOAD R12, R1, R2","STORE R6, R3, 10",No_CONFLICT
"SUB R7, R1, R2","ADD R3, R7, R3",WAR
"AND R8, R1, R2","OR R14, R8, R3",WAR
"OR R12, R0, 28","SHIFT R12, R0, 35",WAW
"DIV R13, R0, 15","DIV R11, R13, R2",RAW
"DIV R4, R0, 18","OR R6, R4, R2",RAW
"LOAD R8, R0, 31","DIV R8, R0, 0",WAW
"SHIFT R11, R1, R2","OR R0, R3, 10",No_CONFLICT
"SHIFT R15, R1, R2","LOAD R2, R15, R3",WAR
"OR R3, R0, 50","DIV R6, R3, R2",RAW
"STORE R7, R1, R2","SUB R5, R3, 10",No_CONFLICT
"XOR R15, R1, R2","SUB R5, R3, 10",No_CONFLICT
"STORE R7, R0, 21","SHIFT R7, R0, 47",WAW
"SHIFT R6, R1, R2","DIV R6, R3, 10",No_CONFLICT
"SHIFT R4, R1, R2","AND R9, R4, R3",WAR
"DIV R14, R0, 2","SHIFT R14, R0, 17",WAW
"OR R0, R1, R2","SUB R1, R0, R3",WAR
"OR R2, R1, R2","SUB R0, R2, R3",WAR
"DIV R5, R0, 30","LOAD R0, R5, R2",RAW
"ADD R6, R0, 17","ADD R6, R6, R2",RAW
"SUB R12, R1, R2","STORE R6, R3, 10",No_CONFLICT
"MUL R8, R0, 30","LOAD R8, R0, 36",WAW
"SHIFT R2, R0, 18","XOR R2, R0, 48",WAW
"STORE R15, R1, R2","STORE R3, R15, R3",WAR
"OR R6, R0, 15","SHIFT R4, R6, R2",RAW
"OR R12, R1, R2","MUL R1, R12, R3",WAR
"STORE R15, R0, 15","AND R15, R0, 44",WAW
"SUB R0, R1, R2","LOAD R8, R3, 10",No_CONFLICT
"SHIFT R7, R1, R2","DIV R10, R3, 10",No_CONFLICT
"STORE R3, R0, 34","MUL R4, R3, R2",RAW
"DIV R3, R1, R2","LOAD R4, R3, R3",WAR
"STORE R13, R0, 40","OR R0, R13, R2",RAW
"SUB R4, R0, 5","OR R4, R0, 47",WAW
"OR R8, R1, R2","ADD R14, R8, R3",WAR
"SHIFT R6, R0, 31","SUB R6, R0, 16",WAW
"DIV R15, R1, R2","LOAD R4, R3, 10",No_CONFLICT
"XOR R15, R0, 6","STORE R15, R0, 49",WAW
"SHIFT R12, R1, R2","ADD R10, R12, R3",WAR
"AND R2, R0, 20","ADD R3, R2, R2",RAW
"STORE R8, R1, R2","XOR R13, R3, 10",No_CONFLICT
"STORE R15, R0, 20","SUB R15, R0, 15",WAW
"XOR R3, R0, 38","OR R3, R0, 21",WAW
"DIV R2, R1, R2","MUL R4, R2, R3",WAR
"SUB R1, R1, R2","ADD R12, R3, 10",No_CONFLICT
"MUL R12, R1, R2","SHIFT R10, R3, 10",No_CONFLICT
"ADD R3, R1, R2","XOR R4, R3, 10",No_CONFLICT
"DIV R10, R1, R2","XOR R7, R10, R3",WAR
"DIV R4, R1, R2","LOAD R13, R4, R3",WAR
"STORE R7, R1, R2","OR R10, R3, 10",No_CONFLICT
"AND R2, R0, 4","MUL R3, R2, R2",RAW
"MUL R2, R0, 28","SHIFT R2, R0, 23",WAW
"XOR R10, R1, R2","STORE R0, R3, 10",No_CONFLICT
"STORE R0, R1, R2","AND R9, R0, R3",WAR
"SHIFT R11, R0, 6","DIV R6, R11, R2",RAW
"LOAD R13, R0, 13","MUL R5, R13, R2",RAW
"DIV R3, R0, 30","OR R5, R3, R2",RAW
"AND R0, R1, R2","OR R12, R3, 10",No_CONFLICT
"AND R4, R1, R2","SHIFT R14, R4, R3",WAR
"SUB R11, R0, 31","SHIFT R8, R11, R2",RAW
"XOR R12, R0, 25","ADD R8, R12, R2",RAW
"AND R10, R1, R2","MUL R10, R3, 10",No_CONFLICT
"LOAD R1, R1, R2","XOR R9, R1, R3",WAR
"SUB R12, R1, R2","OR R1, R3, 10",No_CONFLICT
"DIV R8, R0, 8","SHIFT R11, R8, R2",RAW
"LOAD R14, R0, 7","LOAD R6, R14, R2",RAW
"SUB R9, R0, 28","MUL R9, R0, 33",WAW
"SHIFT R5, R0, 44","OR R5, R0, 47",WAW
"OR R2, R1, R2","AND R5, R3, 10",No_CONFLICT
"STORE R9, R1, R2","SUB R8, R9, R3",WAR
"OR R7, R1, R2","XOR R11, R3, 10",No_CONFLICT
"DIV R12, R0, 4","MUL R5, R12, R2",RAW
"STORE R15, R1, R2","ADD R4, R15, R3",WAR
"XOR R5, R0, 36","AND R5, R5, R2",RAW
"LOAD R0, R0, 10","DIV R15, R0, R2",RAW
"SHIFT R0, R1, R2","OR R8, R3, 10",No_CONFLICT
"LOAD R10, R0, 42","ADD R2, R10, R2",RAW
"OR R12, R0, 47","SHIFT R12, R0, 6",WAW
"ADD R14, R0, 20","STORE R8, R14, R2",RAW
"SHIFT R11, R1, R2","SUB R7, R11, R3",WAR
"MUL R15, R0, 30","AND R15, R0, 22",WAW
"XOR R5, R1, R2","OR R0, R5, R3",WAR
"DIV R6, R0, 28","AND R6, R0, 2",WAW
"STORE R14, R0, 49","LOAD R14, R0, 32",WAW
"OR R1, R1, R2","AND R11, R1, R3",WAR
"STORE R4, R0, 50","STORE R0, R4, R2",RAW
"XOR R0, R1, R2","STORE R15, R3, 10",No_CONFLICT
"OR R4, R1, R2","DIV R5, R4, R3",WAR
"SHIFT R4, R1, R2","LOAD R6, R4, R3",WAR
"SHIFT R9, R0, 47","SHIFT R9, R0, 4",WAW
"SUB R3, R1, R2","LOAD R0, R3, 10",No_CONFLICT
"LOAD R3, R0, 4","AND R3, R0, 6",WAW
"STORE R11, R0, 2","XOR R11, R0, 32",WAW
"AND R0, R1, R2","SHIFT R5, R3, 10",No_CONFLICT
"SUB R13, R0, 14","SHIFT R5, R13, R2",RAW
"XOR R11, R1, R2","LOAD R0, R11, R3",WAR
"DIV R0, R0, 5","DIV R11, R0, R2",RAW
"OR R6, R0, 31","XOR R6, R0, 11",WAW
"SHIFT R1, R0, 18","MUL R15, R1, R2",RAW
"ADD R10, R1, R2","STORE R5, R10, R3",WAR
"MUL R6, R1, R2","OR R7, R6, R3",WAR
"OR R3, R1, R2","MUL R5, R3, 10",No_CONFLICT
"SUB R1, R1, R2","SHIFT R15, R3, 10",No_CONFLICT
"SHIFT R15, R1, R2","MUL R9, R15, R3",WAR
"LOAD R9, R1, R2","XOR R2, R9, R3",WAR
"XOR R9, R0, 15","SUB R9, R0, 16",WAW
"SHIFT R6, R0, 49","SHIFT R6, R0, 42",WAW
"XOR R9, R1, R2","MUL R12, R3, 10",No_CONFLICT
"LOAD R5, R0, 39","AND R12, R5, R2",RAW
"SUB R11, R1, R2","ADD R12, R11, R3",WAR
"AND R6, R1, R2","MUL R6, R3, 10",No_CONFLICT
"SUB R6, R0, 39","SHIFT R6, R0, 32",WAW
"MUL R6, R0, 13","STORE R7, R6, R2",RAW
"DIV R12, R1, R2","SUB R9, R3, 10",No_CONFLICT
"LOAD R2, R1, R2","SUB R3, R2, R3",WAR
"SUB R11, R0, 30","LOAD R11, R0, 8",WAW
"OR R0, R0, 39","DIV R15, R0, R2",RAW
"STORE R5, R0, 24","STORE R3, R5, R2",RAW
"ADD R3, R1, R2","AND R9, R3, 10",No_CONFLICT
"XOR R2, R1, R2","XOR R7, R3, 10",No_CONFLICT
"SUB R8, R1, R2","SUB R13, R3, 10",No_CONFLICT
"LOAD R9, R0, 36","XOR R9, R0, 1",WAW
"SHIFT R4, R0, 24","LOAD R4, R0, 24",WAW
"OR R9, R0, 16","AND R7, R9, R2",RAW
"DIV R0, R0, 43","ADD R0, R0, 36",WAW
"XOR R6, R0, 15","MUL R6, R0, 1",WAW
"SHIFT R14, R0, 4","OR R4, R14, R2",RAW
"XOR R11, R0, 6","ADD R15, R11, R2",RAW
"ADD R1, R0, 42","DIV R1, R0, 40",WAW
"XOR R14, R0, 9","SUB R14, R0, 20",WAW
"DIV R5, R1, R2","DIV R11, R3, 10",No_CONFLICT
"AND R14, R0, 6","MUL R9, R14, R2",RAW
"LOAD R3, R0, 29","SUB R3, R0, 24",WAW
"AND R10, R0, 7","LOAD R0, R10, R2",RAW
"MUL R3, R1, R2","ADD R3, R3, 10",No_CONFLICT
"ADD R8, R0, 18","AND R8, R0, 34",WAW
"ADD R8, R1, R2","OR R12, R8, R3",WAR
"XOR R13, R1, R2","ADD R14, R13, R3",WAR
"LOAD R15, R0, 45","OR R15, R0, 48",WAW
"OR R15, R1, R2","XOR R6, R3, 10",No_CONFLICT
"OR R13, R0, 43","LOAD R13, R0, 1",WAW
"SUB R6, R0, 42","AND R4, R6, R2",RAW
"XOR R11, R0, 45","STORE R11, R0, 20",WAW
"AND R12, R1, R2","ADD R0, R12, R3",WAR
"AND R5, R0, 37","XOR R5, R0, 15",WAW
"SUB R4, R1, R2","ADD R4, R3, 10",No_CONFLICT
"XOR R15, R0, 36","OR R6, R15, R2",RAW
"AND R8, R1, R2","ADD R14, R3, 10",No_CONFLICT
"SUB R12, R0, 9","STORE R6, R12, R2",RAW
"DIV R1, R0, 35","OR R1, R0, 37",WAW
"LOAD R1, R0, 20","AND R1, R0, 19",WAW
"ADD R8, R1, R2","LOAD R11, R8, R3",WAR
"DIV R7, R0, 48","ADD R15, R7, R2",RAW
"SUB R5, R0, 29","DIV R5, R0, 30",WAW
"LOAD R5, R0, 19","SUB R5, R0, 44",WAW
"OR R11, R1, R2","OR R7, R11, R3",WAR
"SUB R2, R0, 49","MUL R2, R0, 30",WAW
"SHIFT R2, R1, R2","MUL R1, R2, R3",WAR
"AND R2, R0, 18","DIV R2, R0, 30",WAW
"SHIFT R12, R0, 37","SHIFT R14, R12, R2",RAW
"XOR R5, R0, 46","MUL R5, R0, 27",WAW
"MUL R6, R1, R2","AND R1, R3, 10",No_CONFLICT
"LOAD R7, R1, R2","SUB R9, R3, 10",No_CONFLICT
"XOR R13, R0, 6","SUB R13, R0, 33",WAW
"STORE R13, R0, 42","LOAD R13, R0, 49",WAW
"SHIFT R2, R0, 36","AND R2, R0, 20",WAW
"DIV R2, R0, 18","DIV R2, R0, 50",WAW
"AND R4, R1, R2","AND R4, R4, R3",WAR
"DIV R14, R0, 48","OR R14, R0, 37",WAW
"ADD R9, R1, R2","ADD R7, R3, 10",No_CONFLICT
"AND R8, R1, R2","MUL R8, R8, R3",WAR
"STORE R4, R1, R2","SHIFT R9, R4, R3",WAR
"LOAD R10, R1, R2","STORE R4, R10, R3",WAR
"DIV R7, R1, R2","STORE R4, R3, 10",No_CONFLICT
"AND R9, R0, 45","SUB R15, R9, R2",RAW
"XOR R0, R0, 48","XOR R7, R0, R2",RAW
"XOR R1, R1, R2","SUB R7, R1, R3",WAR
"XOR R0, R0, 33","AND R15, R0, R2",RAW
"DIV R1, R1, R2","DIV R3, R1, R3",WAR
"SUB R10, R0, 16","MUL R10, R10, R2",RAW
"SUB R8, R0, 8","SHIFT R0, R8, R2",RAW
"LOAD R12, R1, R2","LOAD R6, R3, 10",No_CONFLICT
"LOAD R13, R0, 46","SHIFT R5, R13, R2",RAW
"MUL R10, R0, 6","SUB R13, R10, R2",RAW
"ADD R1, R1, R2","LOAD R1, R3, 10",No_CONFLICT
"DIV R5, R1, R2","XOR R2, R3, 10",No_CONFLICT
"LOAD R4, R0, 11","LOAD R4, R0, 5",WAW
"SHIFT R11, R1, R2","STORE R13, R11, R3",WAR
"XOR R3, R0, 26","SHIFT R3, R0, 39",WAW
"XOR R9, R1, R2","AND R3, R9, R3",WAR
"MUL R5, R0, 26","SUB R5, R0, 17",WAW
"MUL R8, R1, R2","DIV R0, R8, R3",WAR
"STORE R6, R1, R2","SHIFT R6, R6, R3",WAR
"DIV R8, R0, 8","SHIFT R9, R8, R2",RAW
"LOAD R14, R1, R2","XOR R15, R3, 10",No_CONFLICT
"DIV R8, R0, 46","OR R8, R0, 29",WAW
"AND R11, R1, R2","XOR R9, R3, 10",No_CONFLICT
"MUL R1, R0, 50","OR R9, R1, R2",RAW
"DIV R14, R1, R2","SHIFT R13, R14, R3",WAR
"LOAD R14, R1, R2","ADD R8, R3, 10",No_CONFLICT
"LOAD R0, R1, R2","OR R6, R3, 10",No_CONFLICT
"STORE R13, R0, 5","OR R11, R13, R2",RAW
"MUL R6, R0, 18","STORE R6, R0, 37",WAW
"XOR R6, R1, R2","LOAD R3, R6, R3",WAR
"AND R5, R0, 29","AND R5, R0, 10",WAW
"XOR R2, R0, 30","STORE R9, R2, R2",RAW
"MUL R7, R1, R2","MUL R6, R7, R3",WAR
"LOAD R9, R0, 6","SHIFT R9, R0, 16",WAW
"LOAD R12, R0, 37","ADD R12, R0, 21",WAW
"STORE R1, R1, R2","SUB R1, R1, R3",WAR
"STORE R9, R0, 8","AND R9, R0, 26",WAW
"MUL R13, R0, 36","ADD R14, R13, R2",RAW
"OR R4, R0, 38","AND R4, R0, 37",WAW
"SHIFT R6, R1, R2","ADD R3, R3, 10",No_CONFLICT
"SUB R2, R1, R2","SHIFT R4, R3, 10",No_CONFLICT
"DIV R4, R0, 50","XOR R4, R0, 4",WAW
"ADD R8, R1, R2","SUB R11, R3, 10",No_CONFLICT
"STORE R6, R0, 24","SUB R6, R0, 31",WAW
"AND R10, R0, 37","OR R10, R0, 12",WAW
"MUL R15, R0, 42","XOR R8, R15, R2",RAW
"OR R10, R1, R2","ADD R10, R10, R3",WAR
"MUL R4, R0, 36","XOR R4, R0, 27",WAW
"ADD R13, R1, R2","LOAD R5, R13, R3",WAR
"XOR R3, R1, R2","XOR R13, R3, 10",No_CONFLICT
"XOR R3, R0, 12","SUB R3, R0, 8",WAW
"LOAD R4, R0, 6","ADD R4, R0, 7",WAW
"SHIFT R15, R1, R2","OR R15, R3, 10",No_CONFLICT
"DIV R6, R1, R2","AND R14, R6, R3",WAR
"OR R1, R1, R2","OR R12, R1, R3",WAR
"DIV R5, R0, 36","MUL R5, R0, 34",WAW
"DIV R5, R0, 41","XOR R1, R5, R2",RAW
"AND R10, R0, 26","SUB R10, R0, 15",WAW
"AND R7, R0, 42","AND R7, R0, 38",WAW
"SUB R7, R0, 18","SUB R5, R7, R2",RAW
"STORE R4, R1, R2","LOAD R5, R3, 10",No_CONFLICT
"OR R8, R1, R2","LOAD R4, R3, 10",No_CONFLICT
"STORE R13, R0, 2","LOAD R1, R13, R2",RAW
"DIV R14, R1, R2","STORE R6, R14, R3",WAR
"SUB R1, R1, R2","MUL R4, R1, R3",WAR
"DIV R6, R0, 7","SHIFT R4, R6, R2",RAW
"AND R11, R1, R2","ADD R7, R11, R3",WAR
"OR R13, R0, 5","SUB R13, R0, 2",WAW
"DIV R3, R1, R2","SHIFT R14, R3, R3",WAR
"OR R11, R0, 19","SHIFT R3, R11, R2",RAW
"LOAD R13, R1, R2","OR R12, R3, 10",No_CONFLICT
"LOAD R0, R1, R2","OR R12, R0, R3",WAR
"STORE R10, R0, 32","MUL R10, R0, 24",WAW
"XOR R3, R1, R2","MUL R6, R3, R3",WAR
"LOAD R2, R0, 46","DIV R2, R0, 21",WAW
"AND R6, R0, 11","SHIFT R6, R0, 6",WAW
"MUL R4, R0, 24","AND R13, R4, R2",RAW
"OR R6, R0, 30","SUB R6, R0, 45",WAW
"AND R8, R1, R2","SUB R5, R8, R3",WAR
"XOR R14, R1, R2","DIV R10, R14, R3",WAR
"AND R3, R1, R2","ADD R6, R3, R3",WAR
"OR R5, R1, R2","XOR R13, R3, 10",No_CONFLICT
"MUL R9, R1, R2","MUL R8, R3, 10",No_CONFLICT
"STORE R14, R0, 17","SHIFT R14, R0, 17",WAW
"SHIFT R8, R1, R2","ADD R0, R8, R3",WAR
"XOR R5, R0, 35","SUB R5, R0, 22",WAW
"OR R12, R1, R2","SHIFT R11, R12, R3",WAR
"OR R6, R0, 16","OR R6, R0, 49",WAW
"OR R6, R1, R2","XOR R6, R3, 10",No_CONFLICT
